juges  ;  termes  ;  Concepts
J1  ;  vanilla  ;  vanilla
  ;  hazelnut  ;  nuts
  ;  phenol  ;  phenols
J2  ;  stone fruits  ;  fruits
  ;  Jam  ;  ripe or  cooked fruits
  ;  Grilled  ;  roasted
  ;  floral  ;  floral
J3  ;  orange  ;  orange
  ;  citrus  ;  citrus fruits
  ;  Lemon  ;  lemon
  ;  grand marnier  ;  orange
  ;  bergamote  ;  bergamot
  ;  wax  ;  waxes
  ;  honney  ;  honey
  ;  grass  ;  grass
J4  ;  Ripe red fruits  ;  ripe red fruits
  ;  Ripe red fruits  ;   cooked red fruits
  ;  black currant  ;  black currant
  ;  spices  ;  spicy
  ;  thyme  ;  thyme
J5  ;  vegetal  ;  vegetal
  ;  green pepper  ;  pepper
  ;  pyrazines  ;  
J6  ;  exotic fruits  ;  pineapple
  ;  pineapple  ;  
  ;  yellow fruits  ;  apricot
  ;  apricot  ;  
  ;  white fruits  ;  pear
  ;  pear  ;  
  ;  spicy  ;  spicy
J7  ;  herbs  ;  aromatic herbs
  ;  compote  ;  fruits compote
  ;   confiture  ;  fruits jam
  ;  animal  ;  animal
J8  ;  blue flower  ;  blue flowers
  ;  blackberries  ;  blackberries
J9  ;  green vegetal  ;  herbaceous
  ;  peas  ;  green vegetables
  ;  beans  ;  green vegetables
  ;  floral  ;  floral
  ;  red fruits  ;  fresh red fruits
J10  ;  vegetal  ;  vegetal
  ;  reduction  ;  reduced
  ;  fresh fruits  ;  fresh fruits
  ;  berries  ;  berries
J11  ;  vegetal  ;  vegetal
  ;  hay  ;  hay
  ;  toasted  ;  roasted
  ;  currant  ;  currant
  ;  violet  ;  violet
J12  ;  mushroom  ;  mushroom
  ;  pepper  ;  pepper
  ;  varnish  ;  varnish
J13  ;  vegetal  ;  vegetal
  ;  tobacco  ;  tobacco
  ;  currant  ;   currant
  ;  grenadine  ;  grenadine
J14  ;  raspberry  ;  raspberry
  ;  prune  ;  prune
  ;  cut grass  ;  cut grass
  ;  dry grass  ;  dry grass
J15  ;  amylic  ;  amylic
  ;   cherry  ;  cherry
  ;  fresh red fruits  ;  fresh red fruits
  ;  fresh vegetal  ;  fresh vegetal
  ;  red pepper  ;  pepper
